clip_id,video_id,video_title,clip_url,transcription,timestamp,chunk_number,phrase_found
sSgiJtvtQPw_clip_529_535,sSgiJtvtQPw,Samooakceptacja,https://www.youtube.com/watch?v=sSgiJtvtQPw&t=529s,"Nie było jej widać na przykład na Facebooku i nie wiem co się dzieje, ale niektóre rzeczy załatwiają się same, a niektóre trzeba po prostu naprawić, wymyślić, nauczyć się i to też jest dobre dla naszego mózgu.  Bo nie mogę powiedzieć dobra, wszystko działa i już się nie zastanawiać. Urodziny dzisiaj. Urodziny ma między innymi, dzisiaj urodziny mają Maria Zbierańska, to jedna z tych, które są z nami od roku, od stycznia i Jarek Strzałka, to ten, który tak często dużo komentuje, pisze do mnie, jest cudownym człowiekiem.  On ma też dzisiaj urodziny.  Natomiast urodziny wczoraj miały Marzena Kot, która miała 26 lat. Wczoraj skończyła. Okazuje się, że ta średnia wieku u nas nie jest wcale taka podobna do mojej, tylko jest całkiem, całkiem sporo młodych ludzi, którzy chcą też rozpocząć swoją przygodę z rozwojem osobistym czy ze wczesnym wstawaniem.  Widzę, że mi tu spływają jakieś informacje jeszcze na...  Ok, mam nadzieję, że...  ...że wytrzyma internet, bo dostałem właśnie informację, że wykorzystałem 80% w T-Mobile. No jak przerwie to wtedy naprawdę już... Naprawdę nie. Mam nadzieję, że nie przerwie. I to było o godzinie 5.59. Zobaczymy.  Później ma urodziny jeszcze... Wczoraj miała urodziny, czyli Marzena Kot, 26, Maja Bożek, wczoraj Gosia Tobera, wczoraj i wczoraj miała urodziny Paulina Pędzich.  I to, co mi Paulina Pędzich, która miała...  Wczoraj 32 lata skończyła. Zaraz przeczytam. Natomiast oczywiście trzeba dla nich zaśpiewać...  Happy birthday to you.  No właśnie. Długiego, spełnionego, mądrego, bogatego, szczęśliwego, dojrzałego życia.",529.92,3, Happy birthday to you.
a7MJaGRANr8_clip_493_499,a7MJaGRANr8,Mikołajki z niespodzianką,https://www.youtube.com/watch?v=a7MJaGRANr8&t=493s,"osób trafia, kto dzisiaj  będzie  gościnią, gościem w moim  spotkaniu porannym,  ale jeszcze muszę tylko jedną rzecz powiedzieć.  Zanim zaproszę  Mikołajkę dzisiaj do  studia, to jeszcze chcę tylko powiedzieć,  że pięknego maila dostałem od  Wiktora, który napisał,  że mama  Wiktora, Karolina Fetke,  od dwóch lat ogląda  poranne kluby 555.  Przez dwa lata przeszła ogromną  metamorfozę jako osoba.  I pisze dalej Wiktor, moja mama dzięki  klubowi 5555 i tobie  Fryderyku stała się osobą, która jest bardzo  odważna, nie boi się podejmować wszelkich  działań, aby spełniać swoje marzenia.  Dzięki tobie i Nadykowi samodyscypliny  udało jej się zdać egzamin na prawo  jazdy, który był jednym z marzeń  i zmienił jej podejście do życia.  Otworzył mojej mamie oczy na to, że jest  zdolną i silną kobietą,  która nie boli się stawiać czoła  różnym wyzwaniom. Dziękuję ci Fryderyku  za to, że codziennie motywujesz mnie  i tysiące ludzi, aby robić do swojego życia  arcydzieło.  Przecież życie jest zbyt krótkie,  by było byle jakie. Dzisiaj  moja mama obchodzi swoje 45.  urodziny, stąd też moja prośba,  by mógł mi zaśpiewać dla niej symboliczne  Happy Birthday to you  i pozdrawia nas  Wiktor. Moi drodzy,  więc nie mam innego wyjścia  dla Karoliny Fetke,  która jest odważną,  wspaniałą kobietą  i zaangażowana.  Happy Birthday to you.  A właściwie,  to ja powinienem może poprosić,  żeby to zrobił mój gość,  moja gościni dzisiaj, bo zrobi to  na pewno dużo, dużo lepiej.  I też, moi drodzy,  teraz najwyższy czas,  żebym zaprosił  dzisiaj osobę, która będzie  Mikołajką dzisiaj.  Ze mną dzisiaj  Renia Jakubowska.  Cześć.  Cześć.  Cześć, cześć, cześć.",493.06,3, Happy Birthday to you
yR9DAoE4bQo_clip_554_560,yR9DAoE4bQo,Żyj świadomie - łatwo powiedzieć,https://www.youtube.com/watch?v=yR9DAoE4bQo&t=554s,"Życzenia pięknego, długiego, zdrowego, bogatego, szczęśliwego, spełnionego, dojrzałego życia ode mnie, od wszystkich klubowiczów, dla wszystkich, którzy mają urodziny, których wyczytałem i których nie wyczytałem, bo nie wiem o nich.  Oczywiście, happy birthday to you.  Takie życzenia i takie coś.  Jak Ci się podoba ten cytat w ogóle?  Nie, bo jeszcze jedna rzecz, którą zapytałem się oczywiście na czacie, byłbym o tym zapomniał.  Popatrz, popatrz.  No.  Na jakim etapie życia jesteś? Uważasz, że już wszystko rozumiesz, czy ciągle szukasz?  Czuję się już przebudzony, przebudzona, napisało 26% ankietowanych.  Chyba rozumiem już, o co chodzi w życiu, 29% ankietowanych.  Intensywnie szukam wielu odpowiedzi, 40% ankietowanych i totalnie zagubione jest.  Jest 5% ankietowanych klubowiczów, a odpowiedziało 860 osób.  Można jeszcze dołączyć, ale myślę, że to żona prezesa Stowarzyszenia Płaskoziemców Piotrków.  Płach.  Był prezes Stowarzyszenia Płaskoziemców Region Piotrków, a teraz jest żona prezesa Stowarzyszenia Płaskoziemców Piotrków i pisze, po co się gniewać.  To ty jesteś tą żoną? Nie. A może ty jesteś? Nie wiem. Teraz nie wiem.  No dobra, to 100 lat dla wszystkich, niech będzie. Happy Birthday oczywiście też.  I pozdrawiamy Basia Banaszczyk tak samo. Oczywiście, że tak.  I teraz co?  Napisał Mirek, dobra, mam nadzieję, że twoja żona tego słucha i rzucicie sobie coś w ramiona.  I będziecie żyli długo i szczęśliwie. Będzie po prostu.",554.76,4," Oczywiście, happy birthday to you."
KWhyeVwEbdw_clip_523_529,KWhyeVwEbdw,"Tak, możesz...",https://www.youtube.com/watch?v=KWhyeVwEbdw&t=523s,"co? Napisałem do Ciebie  w urodziny, nie dostałeś żadnej odpowiedzi.  Dobra, wrócę do tego,  bo to było  9 lipca,  czyli to było, mogło się  dużo dziać. Dobra,  nie gniewajcie się na mnie, czasami tak jest,  staram się naprawdę  wszystkie, wszystkie czytać.  Dajcie kciuki pod transmisją,  może to już będzie,  a to już któryś raz intro jest ciszej, dobra,  dobra, już zgłośniłem, jutro będzie  dobrze, nie wiem dlaczego zrobiłem je cicho.  Czy wszystko działa?  Działa, w związku z tym  możemy zacząć normalnie jeszcze.  Dzwonek.  Herbato?  Nie jestem w Jastrzębiu,  ja jestem na Malcie  i to już od kilku tygodni jestem na Malcie  i jeszcze do 20 grudnia  będę na Malcie.  Mam informację na temat  tego, że  a,  aktualizacja znowu  spadła.  Spowodowała, że inaczej się zachowują pewne rzeczy.  Konrad  Kusiemski, dziadek  Katarzyny Piaskowskiej, obchodzi dzisiaj  103 urodziny. Michał Graczyk  ma urodziny. Barbara  Gra...  Teraz nie wiem, czy to dobrze zapisałem.  Z Chicago?  O, teraz nie wiem, bo to mi wysłała...  Mam zapisane grama, ale czy ja  sobie dobrze zapisałem? Nie wiem.  I Kasia Kędzierska miała urodziny  w poraj.  I teraz nie jestem  pewny, mam wyrzuty sumienia, czy ja  na pewno zapisałem  grama, czy mi to poprawił ten mój  system. Mam nadzieję,  że Barbara się na mnie nie obrazi  z Chicago, bo ma dzisiaj też  urodziny. Więc dla wszystkich tych, którzy  urodziny mają, o których wiem, o których nie wiem  Happy birthday  to you!  Czytałem Odę do  Karzełka, oczywiście.  Jeszcze do niej muszę wrócić.  Czy jestem  zadowolony z lekcji angielskiego? Bardzo.  Bardzo jestem zadowolony.  I...",523.98,3, Happy birthday
YNGXjmm15cY_clip_566_572,YNGXjmm15cY,Live November 30,https://www.youtube.com/watch?v=YNGXjmm15cY&t=566s,"jeszcze dzisiaj osoby niektóre urodziny.  Na przykład Justyna Wawrzonek  miała urodziny wczoraj.  A dzisiaj ma  Michał Janicki, Aldona  i Wińska, mam nadzieję, że to  właściwe nazwisko, Witold Pańczyszyn  i Mariusz Mauch.  Ci dwa ostatni, nie wiem,  mam ich po prostu na Facebooku  i zobaczyłem, że mają  urodziny.  Więc dla nich  oczywiście  Happy Birthday to you!  Ha, ha, ha.  No.  No.  Dla nich życzenia.  Dla wszystkich życzenia. Dla Ciebie  też. Życzenia  pięknego, długiego,  spełnionego,  zdrowego,  mądrego, bogatego  życia.  Takie życzenia,  takie życzenia  wysyłam do Ciebie każdego dnia.  Po prostu jest to dla mnie  ważne, bo jeżeli  będą, coraz więcej  szczęśliwych ludzi będzie, ale nie tylko  szczęśliwych, zgodnie z heksagonem,  dojrzałych,  emocjonalnie  mądrych,  to coraz mniej zła będzie na świecie.  Wierzę w to głęboko.  Bo co jak nie  głupota  jest przyczyną  nienawiści  i podłości.  To właśnie  dojrzałość emocjonalna.  I o tym chcę też dzisiaj powiedzieć.  Dojrzałość emocjonalna,  dojrzałość w ogóle nasza  prowadzi do tego, że  przestajemy  czuć potrzebę  robienia komukolwiek  przykrości.  A już nie wyobrażam sobie, żeby kogoś zabijać.  Głupota, bieda,  moim zdaniem.",566.96,4, Happy Birthday to you!
UnYDxW7i40U_clip_806_812,UnYDxW7i40U,Co z tym kluczem do szczęścia?,https://www.youtube.com/watch?v=UnYDxW7i40U&t=806s,"się smutno, bo pewnie taka Lila  czekała, w zeszłym roku  już się nie udało i mówi, o, ten  Fryderyk, to może on mnie  nie lubi, albo coś takiego, więc  Lila, bardzo Cię lubię.  Bardzo Cię lubię i dla Ciebie  i dla wszystkich innych  solenizantów. A co? 24?  Tak, tak, 24 dni są.  Trzeba czekać w tamtym kalendarzu  adwentowym, tak?  Dobrze, cudownie.  No to, happy birthday  to you.  You. Dla wszystkich,  którzy mają dzisiaj urodziny, mieli  urodziny w tym tygodniu, którym nie złożyłem życzeń,  a miałem złożyć życzenia, którzy mi złożyli,  a ja nie przeczytałem.  Dla wszystkich, dla tych nawet, co nie mają  urodzin, moi drodzy, długiego,  pięknego, mądrego,  szczęśliwego, spełnionego,  bogatego życia.  Życzę Wam  z całego serca, żeby  Wasze życie było piękne i  spodziewaj się od  niego najlepszego.  Sto lat,  podpowiadasz Natalia?  No, Natalia jest, proszę bardzo.  Ty to chyba od początku jesteś, co?  Dzisiaj, imieniny Fryderyka  to były chyba, Krysiu, wczoraj, bo okazało się,  ja tego nie wiedziałem, po wielu,  wielu latach mojego życia dowiedziałem się,  że w dniu moich urodzin są też moje  imieniny.  To było zaskoczenie dla mnie,  ale na Śląsku się imienin nie obchodzi,  nigdy się nie obchodziło, ale ja nie mam nic przeciwko  temu, jeżeli ktoś lubi,  jak najbardziej, jak najbardziej.  Mamy przed nami, moi drodzy, jeszcze  miesiąc roku  2024 i uważam,  że to jeszcze całkiem sporo.  Na refleksję mamy jeszcze  cztery weekendy,  więc mamy  czas na refleksję, mamy  czas na  zaplanowanie, na przygotowanie się, żeby  to był Twój najlepszy rok, szczególnie dla tych,  którzy są w wyzwaniu.  I  żeby nasze życie było  spełnione.  Zapytam.",806.46,6," No to, happy birthday"
uKEDjc_FFn4_clip_595_601,uKEDjc_FFn4,I am 64 years young,https://www.youtube.com/watch?v=uKEDjc_FFn4&t=595s,"Specjalnie w dniu moich urodzin wysłać Ci specjalną z dedykacją,  więc napisz koniecznie numer telefonu i adres, żeby Ci wysłać.  29 listopada urodziny obchodzą.  Herbaty się możemy napić z asychami w garle.  Nie wiem, bo widać, że jestem przejęty bardzo.  Podekscytowany.  No to herbaty.  Urodziny dzisiaj obchodzą.  Robert Urbisz, Julia Chodzyńska.  Anna Turkiewicz, Iza Kowalska.  29 lat, jaki piękny wiek.  Milena Kamińska i Jolanta Cicha.  Ktoś jeszcze?  Jeszcze ktoś obchodzi dzisiaj urodziny, o którym nie wiem?  Aha, no Fryderyk obchodzi urodziny dzisiaj, 64.  To nie takie do końca okrągłe, ale równie piękne.  Także dla wszystkich i dla mnie.  Happy birthday to you.  Trochę trzęsie mi się głos.  Ale to z przejęcia, ze wzruszenia, bo to niezbyt często się obchodzi, 64. urodziny chyba, nie?  Prawda?  Dobrze, bądźmy dobrej myśli dalej, bo uwaga, ciągle jeszcze wszystko działa.  Gdyby nas rozłączyło, uwaga, gdyby nas rozłączyło, to wróć po prostu do transmisji.  Znaczy ona się pojawi jako kolejna, bo ją włączę ponownie.  Dobra.  Jestem bardzo, bardzo poruszony.  Bardzo, bardzo przejęty.  I cieszę się, że mogę moje urodziny spędzić z tobą.  Dziękuję.  Widać, że jestem szczęśliwy.  Jak to nie być szczęśliwym, gdy docierają do mnie tak piękne słowa.  Tak niesamowite gesty, które pojawiają się odkąd się obudziłem dzisiaj o godzinie 4.30.  To po prostu zaczęło się...",595.62,4, Happy birthday to you.
SkRtGBIPcJQ_clip_659_665,SkRtGBIPcJQ,Klucz do prawdziwego życia,https://www.youtube.com/watch?v=SkRtGBIPcJQ&t=659s,"Zaniedbań, zaniedbań, poddawania się pewnego sposobu myślenia nie dochodzi do tego.  Dlatego też chyba trzeba się w pewnym momencie zatrzymać, obudzić i powiedzieć sobie, dobra, zawalczę o moje szczęście.  Natomiast problemem tutaj pewnie jest to, że często nie zdajemy sobie sprawy z tego, czego chcemy.  To dlatego właśnie zaprosiłem do wyzwania Twój Najlepszy Rok i naprawdę spora grupa ludzi.  O, nawet włączył mi się czat? Nie, nie, to jest jeszcze stare.  Dobra, niestety już się cieszyłem, że się czat włączył, ale jednak nie.  Więc nie widzę obecnych komentarzy i czy wszystko jest okej.  Moim zdaniem największym wyzwaniem dla każdego,  dla każdego człowieka jest pewnego dnia usiąść i zdać sobie sprawę z tego, w którym jestem miejscu.  Zdać sobie sprawę z tego, czego pragnę od życia.  Co ma być? Czy ma być po prostu fajnie, czy ma być excellent?  To chciałbym, żebyś z dzisiejszego klubu po prostu wyniósł.  Czekaj, bo tu mamy coś, tu się coś dzieje, a ja nie wiem, nie wiem teraz.  O, chyba znalazłem ten pogląd, podgląd, podgląd do tego, co jest na żywo i widzę teraz, widzę teraz.  Nie wymieniłem solenizantów jednak, a mi się wydaje, że tych pierwszych siedmiu minutach wymieniłem,  ale nie jestem pewny, więc ja mogę do tego wrócić, nie ma problemu.  Chętnie wrócę do tego i wymienię wszystkich solenizantów.  Dla nich zaśpiewałem Happy Birthday.",659.14,4, Dla nich zaśpiewałem Happy Birthday.
_jKL__gGpBo_clip_659_665,_jKL__gGpBo,Klucz do prawdziwego życia,https://www.youtube.com/watch?v=_jKL__gGpBo&t=659s,"Zaniedbań, zaniedbań, poddawania się pewnego sposobu myślenia nie dochodzi do tego.  Dlatego też chyba trzeba się w pewnym momencie zatrzymać, obudzić i powiedzieć sobie, dobra, zawalczę o moje szczęście.  Natomiast problemem tutaj pewnie jest to, że często nie zdajemy sobie sprawy z tego, czego chcemy.  To dlatego właśnie zaprosiłem do wyzwania Twój Najlepszy Rok i naprawdę spora grupa ludzi.  O, nawet włączył mi się czat? Nie, nie, to jest jeszcze stare.  Dobra, niestety już się cieszyłem, że się czat włączył, ale jednak nie.  Więc nie widzę obecnych komentarzy i czy wszystko jest okej.  Moim zdaniem największym wyzwaniem dla każdego,  dla każdego człowieka jest pewnego dnia usiąść i zdać sobie sprawę z tego, w którym jestem miejscu.  Zdać sobie sprawę z tego, czego pragnę od życia.  Co ma być? Czy ma być po prostu fajnie, czy ma być excellent?  To chciałbym, żebyś z dzisiejszego klubu po prostu wyniósł.  Czekaj, bo tu mamy coś, tu się coś dzieje, a ja nie wiem, nie wiem teraz.  O, chyba znalazłem ten pogląd, podgląd, podgląd do tego, co jest na żywo i widzę teraz, widzę teraz.  Nie wymieniłem solenizantów jednak, a mi się wydaje, że tych pierwszych siedmiu minutach wymieniłem,  ale nie jestem pewny, więc ja mogę do tego wrócić, nie ma problemu.  Chętnie wrócę do tego i wymienię wszystkich solenizantów.  Dla nich zaśpiewałem Happy Birthday.",659.14,4, Dla nich zaśpiewałem Happy Birthday.
MeKk18qs27k_clip_537_543,MeKk18qs27k,Dlaczego to takie ważne?,https://www.youtube.com/watch?v=MeKk18qs27k&t=537s,"Dobra, moi drodzy, nie ma co kombinować, być może, może się uda Wam przełączyć na kanał na YouTubie,  na przykład na Facebooku, ja kombinuję jak przysłowiowy koń pod górę, żeby włączyć mimo wszystko live,  ale chyba, chyba go nie ma jednak na YouTubie.  Dobra, moi drodzy, trudno, trudno, napijmy się po prostu herbaty.  Może jutro, może będzie lepiej, jutro pójdzie ze streamiarda.  Rzeczywiście dzieją się jakieś dziwne rzeczy, to wynika z tego, że chyba Facebook za bardzo nie chce, żeby transmitować na kilku kanałach jednocześnie,  więc przewidujemy, że może tak być, że przeniesiemy tylko na jeden kanał i to będzie prawdopodobnie YouTube,  bo coraz więcej ludzi rezygnuje z Facebooka, a jeżeli się okaże, że możemy tylko na jednym kanale transmitować,  to będziemy raczej szli w kierunku YouTube'a i przykro mi bardzo i jest mi z tym źle, bo od początku jesteśmy na Facebooku  i to się wszystko zaczęło na Facebooku, pierwsze transmisje przez lata szły tylko na Facebooku  i przykro mi, że Facebook robi takie cyrki, ale nie mam, nie mam na to wpływu, więc co mogę zrobić?  Chociaż tyle mogę zrobić, że powiem teraz, że urodziny, urodziny...  Urodziny mają dzisiaj Karolina Ambruszkiewicz z Melbourne i Amelia Gother.  Mają dzisiaj urodziny i o tych osobach wiem, o innych jeszcze nie wiem, ale pewnie też mają urodziny  i dlatego też może powiem tylko, że dla nich najlepsze życzenia długiego, szczęśliwego, bogatego, mądrego, długiego, zdrowego, spełnionego życia.  Dla tych wszystkich, którzy mają dzisiaj urodziny i oczywiście...  Happy Birthday to you!",537.4,3, Happy Birthday to you!
